"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AES^C","The AES Corporation","50.27","n/a","n/a","Basic Industries","Electric Utilities: Central","http://www.nasdaq.com/symbol/aes^c",
"BX","The Blackstone Group L.P.","34.18","$40.47B","2007","Finance","Investment Managers","http://www.nasdaq.com/symbol/bx",
"SCHW","The Charles Schwab Corporation","28.45","$37.43B","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/schw",
"SCHW^B","The Charles Schwab Corporation","25.32","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/schw^b",
"SCHW^C","The Charles Schwab Corporation","25.21","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/schw^c",
"SRV","The Cushing MLP Total Return Fund","14.11","$94.7M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/srv",
"GRX","The Gabelli Healthcare & Wellness Trust","10.58","$158.24M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grx",
"GRX^A","The Gabelli Healthcare & Wellness Trust","25.595","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grx^a",
"GRX^B","The Gabelli Healthcare & Wellness Trust","25.5503","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grx^b",
"GDL","The GDL Fund","9.9401","$203.67M","2007","n/a","n/a","http://www.nasdaq.com/symbol/gdl",
"GDL^B","The GDL Fund","50.08","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gdl^b",
"THG","The Hanover Insurance Group, Inc.","78.43","$3.47B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/thg",
"THGA","The Hanover Insurance Group, Inc.","25.23","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/thga",
"MSG","The Madison Square Garden Company","76","$5.76B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/msg",
"MSG$","The Madison Square Garden Company","167.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/msg$",
"MSGN$","The Madison Square Garden Company","19.83","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/msgn$",
"RUBI","The Rubicon Project, Inc.","15.33","$672M","2014","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/rubi",
"TRV","The Travelers Companies, Inc.","99.66","$31.01B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/trv",
